Compound,k2,log_k2,Source,Notes,SMILES
T0919 + TCO,535708950688.20624,11.728928902676804,Svatunek computational data,Calculated from ΔG‡ = 6.08 kJ/mol,O=N(=O)c2nnc(c1ncncn1)nn2
T0917 + TCO,456390177784.0095,11.659336289163997,Svatunek computational data,Calculated from ΔG‡ = 6.47 kJ/mol,O=N(=O)c2nnc(c1ncncc1)nn2
T0916 + TCO,403454954038.1956,11.605795052553196,Svatunek computational data,Calculated from ΔG‡ = 6.78 kJ/mol,O=N(=O)c2nnc(c1ncccn1)nn2
T0937 + TCO,352530366750.0561,11.54719653279964,Svatunek computational data,Calculated from ΔG‡ = 7.11 kJ/mol,O=N(=O)c2nnc(C(OC)=C)nn2
T0913 + TCO,345113139115.3382,11.537961494025371,Svatunek computational data,Calculated from ΔG‡ = 7.17 kJ/mol,O=N(=O)c2nnc(c1ncccc1)nn2
T0930 + TCO,299498442996.81744,11.476394568963567,Svatunek computational data,Calculated from ΔG‡ = 7.52 kJ/mol,O=N(=O)c2nnc(C#C)nn2
T0908 + TCO,290169627197.4608,11.462651951758254,Svatunek computational data,Calculated from ΔG‡ = 7.6 kJ/mol,O=N(=O)c2nnc(F)nn2
T0915 + TCO,285073000017.34644,11.454956086131778,Svatunek computational data,Calculated from ΔG‡ = 7.64 kJ/mol,O=N(=O)c2nnc(c1ccncc1)nn2
T0554 + TCO,282415332699.29706,11.450888271437606,Svatunek computational data,Calculated from ΔG‡ = 7.66 kJ/mol,COC(=O)c2nnc(C(F)(F)F)nn2
T0909 + TCO,281701307059.9045,11.44978886206418,Svatunek computational data,Calculated from ΔG‡ = 7.67 kJ/mol,O=N(=O)c2nnc(Cl)nn2
T1033 + TCO,279640825095.71954,11.446600574868748,Svatunek computational data,Calculated from ΔG‡ = 7.69 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(N(=O)=O)nn2
T0910 + TCO,277244272522.2475,11.442862582999101,Svatunek computational data,Calculated from ΔG‡ = 7.71 kJ/mol,O=N(=O)c2nnc(Br)nn2
T0918 + TCO,274242729464.18222,11.438135122680874,Svatunek computational data,Calculated from ΔG‡ = 7.74 kJ/mol,O=N(=O)c2nnc(c1cncnc1)nn2
T0813 + TCO,264693569975.41748,11.422743391402925,Svatunek computational data,Calculated from ΔG‡ = 7.82 kJ/mol,NC(=O)c2nnc(C(=O)OC)nn2
T1219 + TCO,258731142940.37152,11.4128487070046,Svatunek computational data,Calculated from ΔG‡ = 7.88 kJ/mol,c1cc(C(=O)O)ccc1c2nnc(N(=O)=O)nn2
T0927 + TCO,252135926079.9812,11.401634731383162,Svatunek computational data,Calculated from ΔG‡ = 7.94 kJ/mol,O=N(=O)c2nnc(CF)nn2
T1161 + TCO,246269270651.3839,11.391410224185309,Svatunek computational data,Calculated from ΔG‡ = 8.0 kJ/mol,CC(=O)c2nnc(C(=O)OC)nn2
T0904 + TCO,237573836511.78824,11.375798611038924,Svatunek computational data,Calculated from ΔG‡ = 8.09 kJ/mol,O=N(=O)c2nncnn2
T1124 + TCO,236015294054.54688,11.37294014664927,Svatunek computational data,Calculated from ΔG‡ = 8.11 kJ/mol,c1cc(C(=O)N)ccc1c2nnc(N(=O)=O)nn2
T1268 + TCO,233992617071.84396,11.369202154779623,Svatunek computational data,Calculated from ΔG‡ = 8.13 kJ/mol,c1cc(C(=O)OC)ccc1c2nnc(N(=O)=O)nn2
T0914 + TCO,224476995550.58832,11.351171841030451,Svatunek computational data,Calculated from ΔG‡ = 8.23 kJ/mol,O=N(=O)c2nnc(c1cnccc1)nn2
T0351 + TCO,222102947286.97342,11.346554321637067,Svatunek computational data,Calculated from ΔG‡ = 8.26 kJ/mol,FC(F)(F)c2nnc(C(F)(F)F)nn2
T0806 + TCO,212693599614.00897,11.327754421288999,Svatunek computational data,Calculated from ΔG‡ = 8.37 kJ/mol,NC(=O)c2nnc(C(F)(F)F)nn2
T1154 + TCO,207271908201.5528,11.316540445655063,Svatunek computational data,Calculated from ΔG‡ = 8.43 kJ/mol,CC(=O)c2nnc(C(F)(F)F)nn2
T0938 + TCO,205339561838.83582,11.31247263097339,Svatunek computational data,Calculated from ΔG‡ = 8.45 kJ/mol,O=N(=O)c2nnc(C(C)=C)nn2
T0912 + TCO,199044368915.5247,11.298949895642762,Svatunek computational data,Calculated from ΔG‡ = 8.53 kJ/mol,O=N(=O)c2nnc(c1ccccc1)nn2
T0544 + TCO,198189617599.22372,11.29708089970794,Svatunek computational data,Calculated from ΔG‡ = 8.54 kJ/mol,COC(=O)c2nnc(c1ncncn1)nn2
T0932 + TCO,196839609318.1736,11.294112494387191,Svatunek computational data,Calculated from ΔG‡ = 8.56 kJ/mol,O=N(=O)c2nnc(C#Cc1ccccc1)nn2
T1421 + TCO,192942170730.9139,11.285427160324634,Svatunek computational data,Calculated from ΔG‡ = 8.61 kJ/mol,c1cc(C(=O)[O-])ccc1c2nnc(N(=O)=O)nn2
T0925 + TCO,190805003500.45956,11.280589759069063,Svatunek computational data,Calculated from ΔG‡ = 8.63 kJ/mol,O=N(=O)c2nnc(c1cc(O)ccc1)nn2
T0924 + TCO,188834864345.25073,11.27608218061302,Svatunek computational data,Calculated from ΔG‡ = 8.66 kJ/mol,O=N(=O)c2nnc(c1c(O)cccc1)nn2
T0911 + TCO,183974768050.66742,11.264758264054242,Svatunek computational data,Calculated from ΔG‡ = 8.72 kJ/mol,O=N(=O)c2nnc(I)nn2
T0542 + TCO,170390807048.73947,11.231446159939464,Svatunek computational data,Calculated from ΔG‡ = 8.92 kJ/mol,COC(=O)c2nnc(c1ncncc1)nn2
T1318 + TCO,169016089754.0764,11.227928049932004,Svatunek computational data,Calculated from ΔG‡ = 8.94 kJ/mol,CC(=O)Nc2nnc(N(=O)=O)nn2
T0940 + TCO,164499419466.54288,11.216164369623854,Svatunek computational data,Calculated from ΔG‡ = 9.0 kJ/mol,O=N(=O)c2nnc(c1cscc1)nn2
T0941 + TCO,158851938956.50528,11.20099252022059,Svatunek computational data,Calculated from ΔG‡ = 9.09 kJ/mol,O=N(=O)c2nnc(c1occc1)nn2
T0942 + TCO,158289951894.7853,11.199453347110293,Svatunek computational data,Calculated from ΔG‡ = 9.1 kJ/mol,O=N(=O)c2nnc(c1cocc1)nn2
T0805 + TCO,157211728174.74246,11.196484941777047,Svatunek computational data,Calculated from ΔG‡ = 9.11 kJ/mol,NC(=O)c2nnc(C(F)F)nn2
T0931 + TCO,156655543853.15738,11.194945768654252,Svatunek computational data,Calculated from ΔG‡ = 9.12 kJ/mol,O=N(=O)c2nnc(C=C)nn2
T0796 + TCO,156457383816.58875,11.194396063967538,Svatunek computational data,Calculated from ΔG‡ = 9.13 kJ/mol,NC(=O)c2nnc(c1ncncn1)nn2
T0339 + TCO,154137939346.20056,11.187909548651831,Svatunek computational data,Calculated from ΔG‡ = 9.16 kJ/mol,FC(F)(F)c2nnc(c1ncncc1)nn2
T1153 + TCO,145972903681.66412,11.164272247060692,Svatunek computational data,Calculated from ΔG‡ = 9.3 kJ/mol,CC(=O)c2nnc(C(F)F)nn2
T0325 + TCO,145382854621.20276,11.16251319206321,Svatunek computational data,Calculated from ΔG‡ = 9.31 kJ/mol,FC(F)c2nnc(C(F)F)nn2
T1144 + TCO,145346055843.2722,11.16240325111337,Svatunek computational data,Calculated from ΔG‡ = 9.31 kJ/mol,CC(=O)c2nnc(c1ncncn1)nn2
T0541 + TCO,140818798314.50595,11.148660633920557,Svatunek computational data,Calculated from ΔG‡ = 9.39 kJ/mol,COC(=O)c2nnc(c1ncccn1)nn2
T0945 + TCO,139505978377.07,11.144592819226384,Svatunek computational data,Calculated from ΔG‡ = 9.41 kJ/mol,O=N(=O)c2nnc(c1ccc(NC(=O)C)cc1)nn2
T0939 + TCO,137472631128.48358,11.138216244835519,Svatunek computational data,Calculated from ΔG‡ = 9.45 kJ/mol,O=N(=O)c2nnc(c1sccc1)nn2
T0136 + TCO,130818095157.37012,11.116667821078886,Svatunek computational data,Calculated from ΔG‡ = 9.57 kJ/mol,n1cncnc1c2nnc(c1ncncn1)nn2
T0794 + TCO,129729806443.3224,11.113039770121585,Svatunek computational data,Calculated from ΔG‡ = 9.59 kJ/mol,NC(=O)c2nnc(c1ncncc1)nn2
T0926 + TCO,126743356398.03964,11.102925203861075,Svatunek computational data,Calculated from ΔG‡ = 9.65 kJ/mol,O=N(=O)c2nnc(c1ccc(O)cc1)nn2
T0338 + TCO,123669023883.47542,11.092260932926349,Svatunek computational data,Calculated from ΔG‡ = 9.71 kJ/mol,FC(F)(F)c2nnc(c1ncccn1)nn2
T1369 + TCO,122175399531.39854,11.08698376790891,Svatunek computational data,Calculated from ΔG‡ = 9.74 kJ/mol,c1(NC)ccccc1c2nnc(N(=O)=O)nn2
T0594 + TCO,121496863707.54555,11.084565067299874,Svatunek computational data,Calculated from ΔG‡ = 9.75 kJ/mol,COC(=C)c2nnc(C(=O)OC)nn2
T1078 + TCO,121159010266.80891,11.083355716976607,Svatunek computational data,Calculated from ΔG‡ = 9.76 kJ/mol,c1cc(OC)ccc1c2nnc(N(=O)=O)nn2
T1142 + TCO,119726005448.3777,11.07818849289651,Svatunek computational data,Calculated from ΔG‡ = 9.79 kJ/mol,CC(=O)c2nnc(c1ncncc1)nn2
T0316 + TCO,118549791999.59805,11.073900796327653,Svatunek computational data,Calculated from ΔG‡ = 9.81 kJ/mol,FC(F)c2nnc(c1ncncn1)nn2
T0538 + TCO,118220133660.47144,11.072691446029383,Svatunek computational data,Calculated from ΔG‡ = 9.82 kJ/mol,COC(=O)c2nnc(c1ncccc1)nn2
T0905 + TCO,116969848295.60875,11.068073926648498,Svatunek computational data,Calculated from ΔG‡ = 9.85 kJ/mol,O=N(=O)c2nnc(C)nn2
T0814 + TCO,112326797381.69945,11.050483376623697,Svatunek computational data,Calculated from ΔG‡ = 9.95 kJ/mol,NC(=O)c2nnc(C(OC)=C)nn2
T0335 + TCO,112269941082.90707,11.050263494736514,Svatunek computational data,Calculated from ΔG‡ = 9.95 kJ/mol,FC(F)(F)c2nnc(c1ncccc1)nn2
T1528 + TCO,110913990239.66153,11.044986329744072,Svatunek computational data,Calculated from ΔG‡ = 9.98 kJ/mol,OC(=O)CCc2nnc(N(=O)=O)nn2
T0933 + TCO,109991285755.7413,11.041358278811769,Svatunek computational data,Calculated from ΔG‡ = 10.0 kJ/mol,O=N(=O)c2nnc(/C=C/c1ccccc1)nn2
T0793 + TCO,108168841130.88637,11.034102176909666,Svatunek computational data,Calculated from ΔG‡ = 10.04 kJ/mol,NC(=O)c2nnc(c1ncccn1)nn2
T0314 + TCO,107813450288.20914,11.032672944724212,Svatunek computational data,Calculated from ΔG‡ = 10.05 kJ/mol,FC(F)c2nnc(c1ncncc1)nn2
T1141 + TCO,103063160872.66989,11.013103457827246,Svatunek computational data,Calculated from ΔG‡ = 10.16 kJ/mol,CC(=O)c2nnc(c1ncccn1)nn2
T0540 + TCO,102672548905.2922,11.011454343767108,Svatunek computational data,Calculated from ΔG‡ = 10.17 kJ/mol,COC(=O)c2nnc(c1ccncc1)nn2
T0587 + TCO,99676149789.71704,10.998591254060536,Svatunek computational data,Calculated from ΔG‡ = 10.24 kJ/mol,COC(=C)c2nnc(C(F)(F)F)nn2
T0534 + TCO,99222991641.66345,10.99661231717587,Svatunek computational data,Calculated from ΔG‡ = 10.26 kJ/mol,COC(=O)c2nnc(Cl)nn2
T0105 + TCO,98572064559.50807,10.993753852804966,Svatunek computational data,Calculated from ΔG‡ = 10.27 kJ/mol,c1cncnc1c2nnc(c1ncncc1)nn2
T0543 + TCO,98522170480.36717,10.993533970942778,Svatunek computational data,Calculated from ΔG‡ = 10.27 kJ/mol,COC(=O)c2nnc(c1cncnc1)nn2
T1023 + TCO,97702554773.89635,10.989905920010475,Svatunek computational data,Calculated from ΔG‡ = 10.29 kJ/mol,c1cc(N(=O)=O)ccc1c2nnc(C(=O)OC)nn2
T0555 + TCO,97480208976.99469,10.988916451549395,Svatunek computational data,Calculated from ΔG‡ = 10.3 kJ/mol,COC(=O)c2nnc(C#C)nn2
T0552 + TCO,94899235142.36656,10.97726271216609,Svatunek computational data,Calculated from ΔG‡ = 10.37 kJ/mol,COC(=O)c2nnc(CF)nn2
T1162 + TCO,94157418521.10999,10.973854543108471,Svatunek computational data,Calculated from ΔG‡ = 10.39 kJ/mol,CC(=O)c2nnc(C(OC)=C)nn2
T0133 + TCO,92879043120.56825,10.967917732466976,Svatunek computational data,Calculated from ΔG‡ = 10.42 kJ/mol,n1cncnc1c2nnc(c1ncccn1)nn2
